name_wiki,genre_wiki,release_wiki,url_wiki
2 Minutes to Midnight,,6 August 1984,https://en.wikipedia.org/wiki/2_Minutes_to_Midnight
2 + 2 = ?,,January 1968 (1968-01),https://en.wikipedia.org/wiki/2_%2B_2_%3D_%3F
19 (song),,1985,https://en.wikipedia.org/wiki/19_(song)
99 Luftballons,,1983 (West Germany) / 1984 (United Kingdom),https://en.wikipedia.org/wiki/99_Luftballons
911 Is a Joke,,April 1990[1],https://en.wikipedia.org/wiki/911_Is_a_Joke
2020 Riots: How Many Times,,,https://en.wikipedia.org/wiki/2020_Riots:_How_Many_Times
Afilando los cuchillos,,,https://en.wikipedia.org/wiki/Afilando_los_cuchillos
"Ain't Got No, I Got Life",,1968,"https://en.wikipedia.org/wiki/Ain%27t_Got_No,_I_Got_Life"
Airplanes (song),,"April 13, 2010",https://en.wikipedia.org/wiki/Airplanes_(song)
Alice's Restaurant,,October 1967,https://en.wikipedia.org/wiki/Alice%27s_Restaurant
All These Things That I've Done,,"August 30, 2004",https://en.wikipedia.org/wiki/All_These_Things_That_I%27ve_Done
All You Need Is Love (JAMs song),,"9 March 1987 (original white-label version)18 May 1987 (""106bpm"" version)",https://en.wikipedia.org/wiki/All_You_Need_Is_Love_(JAMs_song)
Alright (Kendrick Lamar song),,"June 30, 2015",https://en.wikipedia.org/wiki/Alright_(Kendrick_Lamar_song)
America (Sufjan Stevens song),,"July 3, 2020 (2020-07-03)",https://en.wikipedia.org/wiki/America_(Sufjan_Stevens_song)
American Idiot (song),,"August 31, 2004",https://en.wikipedia.org/wiki/American_Idiot_(song)
American Jesus,,1993,https://en.wikipedia.org/wiki/American_Jesus
American Woman,,March 1970 (1970-03) / June 1999 (1999-06),https://en.wikipedia.org/wiki/American_Woman
Amerika (song),,6 September 2004,https://en.wikipedia.org/wiki/Amerika_(song)
Anarchy in the U.K.,,26 November 1976 / 1988 / 1993 / December 1991,https://en.wikipedia.org/wiki/Anarchy_in_the_U.K.
And Sadness Will Sear,,,https://en.wikipedia.org/wiki/And_Sadness_Will_Sear
Another Brick in the Wall,,30 November 1979 / 23 November 1979 / 10 September 1990 / December 2004,https://en.wikipedia.org/wiki/Another_Brick_in_the_Wall
Another Brick in the Wall (Part 2),,30 November 1979 / 23 November 1979 / 10 September 1990 / December 2004,https://en.wikipedia.org/wiki/Another_Brick_in_the_Wall_(Part_2)
Another Day in Paradise,,23 October 1989[1] / 1990 / 17 March 2001,https://en.wikipedia.org/wiki/Another_Day_in_Paradise
Anthem for the Year 2000,,February 1999,https://en.wikipedia.org/wiki/Anthem_for_the_Year_2000
Apni Azadi Ko Hum Hargis Mita Sakte Nahin,,1965,https://en.wikipedia.org/wiki/Apni_Azadi_Ko_Hum_Hargis_Mita_Sakte_Nahin
Are You Gonna Go My Way (song),,1993,https://en.wikipedia.org/wiki/Are_You_Gonna_Go_My_Way_(song)
Around My Way (Freedom Ain't Free),,"May 21, 2012",https://en.wikipedia.org/wiki/Around_My_Way_(Freedom_Ain%27t_Free)
Ausländer (Living Colour song),,1993,https://en.wikipedia.org/wiki/Ausl%C3%A4nder_(Living_Colour_song)
Australia (Whore of the World),,2010,https://en.wikipedia.org/wiki/Australia_(Whore_of_the_World)
Avanti ragazzi di Buda,,,https://en.wikipedia.org/wiki/Avanti_ragazzi_di_Buda
Ball of Confusion (That's What the World Is Today),,"May 7, 1970 / 1982",https://en.wikipedia.org/wiki/Ball_of_Confusion_(That%27s_What_the_World_Is_Today)
Baltimore (Prince song),,,https://en.wikipedia.org/wiki/Baltimore_(Prince_song)
Banglar Mati Banglar Jol,,,https://en.wikipedia.org/wiki/Banglar_Mati_Banglar_Jol
Beans in My Ears,,1964 (1964),https://en.wikipedia.org/wiki/Beans_in_My_Ears
The Beautiful People (song),,"September 22, 1996",https://en.wikipedia.org/wiki/The_Beautiful_People_(song)
Between the Wars (EP),,,https://en.wikipedia.org/wiki/Between_the_Wars_(EP)
The Big Bright Green Pleasure Machine,,"October 10, 1966 (1966-10-10)",https://en.wikipedia.org/wiki/The_Big_Bright_Green_Pleasure_Machine
The Big Money,,"September 26, 1985",https://en.wikipedia.org/wiki/The_Big_Money
The Bigger Picture (song),,"June 12, 2020 (2020-06-12)",https://en.wikipedia.org/wiki/The_Bigger_Picture_(song)
Birmingham Sunday,,,https://en.wikipedia.org/wiki/Birmingham_Sunday
Bitch Bad,,"June 25, 2012",https://en.wikipedia.org/wiki/Bitch_Bad
Black or White,,"November 11, 1991",https://en.wikipedia.org/wiki/Black_or_White
Black Parade (song),,"June 19, 2020 (2020-06-19)",https://en.wikipedia.org/wiki/Black_Parade_(song)
Black Rain (Ozzy Osbourne song),,,https://en.wikipedia.org/wiki/Black_Rain_(Ozzy_Osbourne_song)
Blowin' in the Wind,,"August 13, 1963 / 1963 / 1964",https://en.wikipedia.org/wiki/Blowin%27_in_the_Wind
Bonzo Goes to Bitburg,,June 1985[1],https://en.wikipedia.org/wiki/Bonzo_Goes_to_Bitburg
Born Free (M.I.A. song),,23 April 2010 (2010-04-23),https://en.wikipedia.org/wiki/Born_Free_(M.I.A._song)
Both of Us,,"May 22, 2012",https://en.wikipedia.org/wiki/Both_of_Us
"Boundless Oceans, Vast Skies",,May 1993,"https://en.wikipedia.org/wiki/Boundless_Oceans,_Vast_Skies"
Breaking the Law,,23 May 1980 / 14 April 1980 (1980-04-14),https://en.wikipedia.org/wiki/Breaking_the_Law
Bridges (Fifth Harmony song),,,https://en.wikipedia.org/wiki/Bridges_(Fifth_Harmony_song)
Bring On the Lucie (Freda Peeple),,16 November 1973,https://en.wikipedia.org/wiki/Bring_On_the_Lucie_(Freda_Peeple)
British Refugee,,7 October 1977 (UK)June 1978 (Germany),https://en.wikipedia.org/wiki/British_Refugee
Brown Shoes Don't Make It,,1967,https://en.wikipedia.org/wiki/Brown_Shoes_Don%27t_Make_It
Bullet the Blue Sky,,9 March 1987,https://en.wikipedia.org/wiki/Bullet_the_Blue_Sky
Bulls on Parade,,"February 9, 1996",https://en.wikipedia.org/wiki/Bulls_on_Parade
Burning in the Skies,,"March 21, 2011 (2011-03-21)",https://en.wikipedia.org/wiki/Burning_in_the_Skies
Bu$hleaguer,,,https://en.wikipedia.org/wiki/Bu$hleaguer
By the Time I Get to Arizona,,January 1992 (1992-01),https://en.wikipedia.org/wiki/By_the_Time_I_Get_to_Arizona
California über alles,,June 1979,https://en.wikipedia.org/wiki/California_%C3%BCber_alles
The Call Up,,28 November 1980,https://en.wikipedia.org/wiki/The_Call_Up
Can't Wait to Be Dead,,"October 21, 2020",https://en.wikipedia.org/wiki/Can%27t_Wait_to_Be_Dead
The Captain Is Drunk,,"December 4, 2020",https://en.wikipedia.org/wiki/The_Captain_Is_Drunk
Chained to the Rhythm,,"February 10, 2017 (2017-02-10)",https://en.wikipedia.org/wiki/Chained_to_the_Rhythm
A Change Is Gonna Come,,"Mid-February, 1964",https://en.wikipedia.org/wiki/A_Change_Is_Gonna_Come
Changes (Tupac Shakur song),,"October 13, 1998 (1998-10-13)",https://en.wikipedia.org/wiki/Changes_(Tupac_Shakur_song)
The Chariot (song),,2004,https://en.wikipedia.org/wiki/The_Chariot_(song)
Chicago (Graham Nash song),,May 1971,https://en.wikipedia.org/wiki/Chicago_(Graham_Nash_song)
Chimes of Freedom (song),,"August 8, 1964 (1964-08-08) / June 21, 1965 (1965-06-21)",https://en.wikipedia.org/wiki/Chimes_of_Freedom_(song)
Chinese Democracy (song),,"October 22, 2008",https://en.wikipedia.org/wiki/Chinese_Democracy_(song)
Come Out and Play (The Offspring song),,"March 10, 1994",https://en.wikipedia.org/wiki/Come_Out_and_Play_(The_Offspring_song)
Commander in Chief (song),,"October 14, 2020 (2020-10-14)",https://en.wikipedia.org/wiki/Commander_in_Chief_(song)
Cop Killer (song),,1992 (1992)[1],https://en.wikipedia.org/wiki/Cop_Killer_(song)
Crazy Train,,September 1980 / 1987,https://en.wikipedia.org/wiki/Crazy_Train
Cutty Wren,,,https://en.wikipedia.org/wiki/Cutty_Wren
Darkness (Eminem song),,"January 17, 2020 (2020-01-17)",https://en.wikipedia.org/wiki/Darkness_(Eminem_song)
Dear Mr. President (Fredwreck song),,2004 (2004),https://en.wikipedia.org/wiki/Dear_Mr._President_(Fredwreck_song)
Dear Mr. President (Pink song),,"December 21, 2006 (2006-12-21)",https://en.wikipedia.org/wiki/Dear_Mr._President_(Pink_song)
Declare Independence,,1 January 2008,https://en.wikipedia.org/wiki/Declare_Independence
Definition (song),,"August 26, 1998",https://en.wikipedia.org/wiki/Definition_(song)
Deportee (Plane Wreck at Los Gatos),,,https://en.wikipedia.org/wiki/Deportee_(Plane_Wreck_at_Los_Gatos)
Dersim'de Doğan Güneş,,,https://en.wikipedia.org/wiki/Dersim%27de_Do%C4%9Fan_G%C3%BCne%C5%9F
Devil in a Midnight Mass,,"June 15, 2006",https://en.wikipedia.org/wiki/Devil_in_a_Midnight_Mass
Diamonds from Sierra Leone,,"May 31, 2005",https://en.wikipedia.org/wiki/Diamonds_from_Sierra_Leone
Dickie's Such An Asshole,,,https://en.wikipedia.org/wiki/Dickie%27s_Such_An_Asshole
